501;TABLET;Motorola XOOM with Wi-Fi;"The Next; Next Generation Experience the future with Motorola XOOM with Wi-Fi; the world's first tablet powered by Android 3.0 (Honeycomb).";199;tablet;;;;;;;
502;TABLET;MOTOROLA XOOM;"The Next; Next Generation Experience the future with MOTOROLA XOOM; the world's first tablet powered by Android 3.0 (Honeycomb).";189;tablet;;;;;;;
504;TABLET;Dell Streak 7;"Introducing Dell Streak 7. Share photos; videos and movies together. It’s small enough to carry around; big enough to gather around.";179;tablet;;;;;;;
509;TABLET;Samsung Galaxy Tab;"Feel Free to Tab. The Samsung Galaxy Tab brings you an ultra-mobile entertainment experience through its 7” display; high-power processor and Adobe Flash Player compatibility.";169;tablet;;;;;;;
601;HANDY;MOTOROLA ATRIX 4G;MOTOROLA ATRIX 4G the world's most powerful smartphone.;59;handy;;;;;;;
602;HANDY;Samsung Gem;"The Samsung Gem brings you everything that you would expect and more from a touch display smart phone – more apps; more features and a more affordable price.";69;handy;;;;;;;
603;HANDY;Dell Venue;"The Dell Venue; Your Personal Express Lane to Everything";79;handy;;;;;;;
604;HANDY;Nexus S;"Fast just got faster with Nexus S. A pure Google experience; Nexus S is the first phone to run Gingerbread (Android 2.3); the fastest version of Android yet.";89;handy;;;;;;;
605;HANDY;LG Axis;"Android Powered; Google Maps Navigation; 5 Customizable Home Screens";99;handy;;;;;;;
606;HANDY;Samsung Showcase a Galaxy S phone;"The Samsung Showcase delivers a cinema quality experience like you’ve never seen before. Its innovative 4” touch display technology provides rich picture brilliance; even outdoors";109;handy;;;;;;;
607;HANDY;DROID 2 Global by Motorola;The first smartphone with a 1.2 GHz processor and global capabilities.;119;handy;;;;;;;
608;HANDY;DROID Pro by Motorola;The next generation of DOES.;129;handy;;;;;;;
609;HANDY;MOTOROLA BRAVO with MOTOBLUR;An experience to cheer about.;139;handy;;;;;;;
610;HANDY;Motorola DEFY with MOTOBLUR;Are you ready for everything life throws your way?;149;handy;;;;;;;
611;HANDY;T-Mobile myTouch 4G;"The T-Mobile myTouch 4G is a premium smartphone designed to deliver blazing fast 4G speeds so that you can video chat from practically anywhere; with or without Wi-Fi.";159;handy;;;;;;;
612;HANDY;Samsung Mesmerize a Galaxy S phone;"The Samsung Mesmerize delivers a cinema quality experience like you’ve never seen before. Its innovative 4” touch display technology provides rich picture brilliance;even outdoors";169;handy;;;;;;;
613;HANDY;SANYO ZIO;"The Sanyo Zio by Kyocera is an Android smartphone with a combination of ultra-sleek styling; strong performance and unprecedented value.";179;handy;;;;;;;
614;HANDY;Samsung Transform;The Samsung Transform brings you a fun way to customize your Android powered touch screen phone to just the way you like it through your favorite themed “Sprint ID Service Pack”.;189;handy;;;;;;;
615;HANDY;T-Mobile G2;"The T-Mobile G2 with Google is the first smartphone built for 4G speeds on T-Mobile's new network. Get the information you need; faster than you ever thought possible.";199;handy;;;;;;;
616;HANDY;Motorola CHARM with MOTOBLUR;Motorola CHARM fits easily in your pocket or palm.  Includes MOTOBLUR service.;209;handy;;;;;;;
